id,Product,Facility,Year,Season,Energy_Use_kWh,Water_Use_L,CO2_Emissions_kg,Waste_kg,Units_Produced,CO2_per_unit,Energy_per_unit,Water_per_unit,Waste_per_unit,Efficiency_Score,Product_Category
213,Ice Cream,Copenhagen Plant,2021,Summer,2801,5501,310,65,783,0.4,3.58,7.03,0.08,2.09,Cream Products
214,Ice Cream,Aarhus Plant,2021,Summer,3126,6141,346,73,837,0.41,3.73,7.34,0.09,2.03,Cream Products
215,Ice Cream,Odense Plant,2021,Summer,3050,5991,338,71,784,0.43,3.89,7.64,0.09,1.97,Cream Products
216,Ice Cream,Aalborg Plant,2021,Summer,3156,6199,349,73,780,0.45,4.05,7.95,0.09,1.91,Cream Products
217,Whole Milk,Copenhagen Plant,2021,Autumn,2344,7952,151,21,1092,0.14,2.15,7.28,0.02,2.67,Milk Products
218,Whole Milk,Aarhus Plant,2021,Autumn,2439,8274,157,22,1089,0.14,2.24,7.6,0.02,2.64,Milk Products
219,Whole Milk,Odense Plant,2021,Autumn,2638,8951,170,24,1131,0.15,2.33,7.91,0.02,2.61,Milk Products
220,Whole Milk,Aalborg Plant,2021,Autumn,2726,9247,175,24,1123,0.16,2.43,8.23,0.02,2.57,Milk Products
221,Skim Milk,Copenhagen Plant,2021,Autumn,2349,8313,149,20,1080,0.14,2.17,7.7,0.02,2.67,Milk Products
222,Skim Milk,Aarhus Plant,2021,Autumn,2496,8834,158,21,1100,0.14,2.27,8.03,0.02,2.63,Milk Products
223,Skim Milk,Odense Plant,2021,Autumn,2402,8500,152,20,1016,0.15,2.36,8.37,0.02,2.6,Milk Products
224,Skim Milk,Aalborg Plant,2021,Autumn,2499,8842,159,21,1017,0.16,2.46,8.69,0.02,2.56,Milk Products
225,Organic Milk,Copenhagen Plant,2021,Autumn,2958,9708,194,26,904,0.21,3.27,10.74,0.03,2.27,Milk Products
226,Organic Milk,Aarhus Plant,2021,Autumn,3055,10025,201,27,895,0.22,3.41,11.2,0.03,2.22,Milk Products
227,Organic Milk,Odense Plant,2021,Autumn,3039,9973,199,27,855,0.23,3.55,11.66,0.03,2.17,Milk Products
228,Organic Milk,Aalborg Plant,2021,Autumn,2980,9778,196,26,806,0.24,3.7,12.13,0.03,2.12,Milk Products
229,Cheddar Cheese,Copenhagen Plant,2021,Autumn,1938,3700,247,40,364,0.68,5.32,10.16,0.11,1.41,Cheese Products
230,Cheddar Cheese,Aarhus Plant,2021,Autumn,1972,3765,251,40,355,0.71,5.55,10.61,0.11,1.32,Cheese Products
231,Cheddar Cheese,Odense Plant,2021,Autumn,2252,4298,287,46,389,0.74,5.79,11.05,0.12,1.23,Cheese Products
232,Cheddar Cheese,Aalborg Plant,2021,Autumn,2251,4298,287,46,374,0.77,6.02,11.49,0.12,1.14,Cheese Products
233,Mozzarella Cheese,Copenhagen Plant,2021,Autumn,1919,3654,242,38,417,0.58,4.6,8.76,0.09,1.69,Cheese Products
234,Mozzarella Cheese,Aarhus Plant,2021,Autumn,2000,3809,252,40,417,0.6,4.8,9.13,0.1,1.61,Cheese Products
235,Mozzarella Cheese,Odense Plant,2021,Autumn,1902,3623,240,38,380,0.63,5.01,9.53,0.1,1.53,Cheese Products
236,Mozzarella Cheese,Aalborg Plant,2021,Autumn,2275,4334,287,46,438,0.66,5.19,9.89,0.11,1.46,Cheese Products
237,Blue Cheese,Copenhagen Plant,2021,Autumn,1990,3732,265,46,252,1.05,7.9,14.81,0.18,0.4,Cheese Products
238,Blue Cheese,Aarhus Plant,2021,Autumn,2086,3912,278,48,254,1.09,8.21,15.4,0.19,0.28,Cheese Products
239,Blue Cheese,Odense Plant,2021,Autumn,2476,4643,330,57,289,1.14,8.57,16.07,0.2,0.14,Cheese Products
240,Blue Cheese,Aalborg Plant,2021,Autumn,2504,4696,334,57,281,1.19,8.91,16.71,0.2,0.01,Cheese Products
241,Cream Cheese,Copenhagen Plant,2021,Autumn,1575,3150,199,32,405,0.49,3.89,7.78,0.08,1.96,Cheese Products
242,Cream Cheese,Aarhus Plant,2021,Autumn,1757,3513,222,35,433,0.51,4.06,8.11,0.08,1.89,Cheese Products
243,Cream Cheese,Odense Plant,2021,Autumn,1653,3306,209,33,391,0.53,4.23,8.46,0.08,1.83,Cheese Products
244,Cream Cheese,Aalborg Plant,2021,Autumn,1801,3603,228,36,410,0.56,4.39,8.79,0.09,1.76,Cheese Products
245,Greek Yogurt,Copenhagen Plant,2021,Autumn,1490,5959,124,29,765,0.16,1.95,7.79,0.04,2.73,Yogurt Products
246,Greek Yogurt,Aarhus Plant,2021,Autumn,1640,6560,137,32,807,0.17,2.03,8.13,0.04,2.7,Yogurt Products
247,Greek Yogurt,Odense Plant,2021,Autumn,1548,6194,129,30,731,0.18,2.12,8.47,0.04,2.66,Yogurt Products
248,Greek Yogurt,Aalborg Plant,2021,Autumn,1611,6445,134,31,732,0.18,2.2,8.8,0.04,2.64,Yogurt Products
249,Regular Yogurt,Copenhagen Plant,2021,Autumn,1438,6111,121,27,899,0.13,1.6,6.8,0.03,2.86,Yogurt Products
250,Regular Yogurt,Aarhus Plant,2021,Autumn,1387,5895,117,26,831,0.14,1.67,7.09,0.03,2.83,Yogurt Products
251,Regular Yogurt,Odense Plant,2021,Autumn,1567,6662,132,29,901,0.15,1.74,7.39,0.03,2.8,Yogurt Products
252,Regular Yogurt,Aalborg Plant,2021,Autumn,1445,6139,122,27,799,0.15,1.81,7.68,0.03,2.78,Yogurt Products
253,Flavored Yogurt,Copenhagen Plant,2021,Autumn,1531,6125,127,29,837,0.15,1.83,7.32,0.03,2.77,Yogurt Products
254,Flavored Yogurt,Aarhus Plant,2021,Autumn,1710,6840,142,32,896,0.16,1.91,7.63,0.04,2.74,Yogurt Products
255,Flavored Yogurt,Odense Plant,2021,Autumn,1503,6012,125,28,756,0.17,1.99,7.95,0.04,2.71,Yogurt Products
256,Flavored Yogurt,Aalborg Plant,2021,Autumn,1883,7533,156,36,911,0.17,2.07,8.27,0.04,2.68,Yogurt Products
257,Salted Butter,Copenhagen Plant,2021,Autumn,1287,1744,174,23,289,0.6,4.45,6.03,0.08,1.73,Butter Products
258,Salted Butter,Aarhus Plant,2021,Autumn,1325,1795,179,24,285,0.63,4.65,6.3,0.08,1.66,Butter Products
259,Salted Butter,Odense Plant,2021,Autumn,1558,2111,211,28,322,0.66,4.84,6.56,0.09,1.58,Butter Products
260,Salted Butter,Aalborg Plant,2021,Autumn,1522,2062,206,27,302,0.68,5.04,6.83,0.09,1.51,Butter Products
261,Unsalted Butter,Copenhagen Plant,2021,Autumn,1237,1649,169,21,305,0.55,4.06,5.41,0.07,1.88,Butter Products
262,Unsalted Butter,Aarhus Plant,2021,Autumn,1455,1940,199,25,343,0.58,4.24,5.66,0.07,1.81,Butter Products
263,Unsalted Butter,Odense Plant,2021,Autumn,1288,1718,176,22,292,0.6,4.41,5.88,0.08,1.75,Butter Products
264,Unsalted Butter,Aalborg Plant,2021,Autumn,1373,1831,188,24,299,0.63,4.59,6.12,0.08,1.68,Butter Products
265,Heavy Cream,Copenhagen Plant,2021,Autumn,967,2256,105,18,455,0.23,2.13,4.96,0.04,2.64,Cream Products
266,Heavy Cream,Aarhus Plant,2021,Autumn,996,2324,108,18,450,0.24,2.21,5.16,0.04,2.61,Cream Products
267,Heavy Cream,Odense Plant,2021,Autumn,1127,2629,122,21,488,0.25,2.31,5.39,0.04,2.58,Cream Products
268,Heavy Cream,Aalborg Plant,2021,Autumn,1151,2685,125,21,479,0.26,2.4,5.61,0.04,2.54,Cream Products
269,Light Cream,Copenhagen Plant,2021,Autumn,948,2240,103,17,543,0.19,1.75,4.13,0.03,2.79,Cream Products
270,Light Cream,Aarhus Plant,2021,Autumn,1048,2478,114,19,576,0.2,1.82,4.3,0.03,2.76,Cream Products
271,Light Cream,Odense Plant,2021,Autumn,1094,2586,119,20,577,0.21,1.9,4.48,0.03,2.73,Cream Products
272,Light Cream,Aalborg Plant,2021,Autumn,1003,2371,109,18,509,0.21,1.97,4.66,0.04,2.7,Cream Products
273,Whipping Cream,Copenhagen Plant,2021,Autumn,1053,2348,109,19,431,0.25,2.44,5.45,0.04,2.53,Cream Products
274,Whipping Cream,Aarhus Plant,2021,Autumn,1107,2470,115,20,435,0.26,2.54,5.68,0.05,2.49,Cream Products
275,Whipping Cream,Odense Plant,2021,Autumn,1277,2848,133,23,481,0.28,2.65,5.92,0.05,2.45,Cream Products
276,Whipping Cream,Aalborg Plant,2021,Autumn,1272,2837,132,23,461,0.29,2.76,6.15,0.05,2.41,Cream Products
277,Sour Cream,Copenhagen Plant,2021,Autumn,1176,2688,118,21,420,0.28,2.8,6.4,0.05,2.4,Cream Products
278,Sour Cream,Aarhus Plant,2021,Autumn,1262,2885,126,23,432,0.29,2.92,6.68,0.05,2.36,Cream Products
279,Sour Cream,Odense Plant,2021,Autumn,1365,3120,137,24,449,0.31,3.04,6.95,0.05,2.31,Cream Products
280,Sour Cream,Aalborg Plant,2021,Autumn,1385,3167,139,25,438,0.32,3.16,7.23,0.06,2.26,Cream Products
281,Cottage Cheese,Copenhagen Plant,2021,Autumn,1444,3414,136,28,495,0.27,2.92,6.9,0.06,2.36,Cheese Products
282,Cottage Cheese,Aarhus Plant,2021,Autumn,1368,3234,129,27,449,0.29,3.05,7.2,0.06,2.31,Cheese Products
283,Cottage Cheese,Odense Plant,2021,Autumn,1440,3404,135,28,454,0.3,3.17,7.5,0.06,2.27,Cheese Products
284,Cottage Cheese,Aalborg Plant,2021,Autumn,1682,3976,158,33,510,0.31,3.3,7.8,0.06,2.22,Cheese Products
285,Ice Cream,Copenhagen Plant,2021,Autumn,2319,4555,257,54,648,0.4,3.58,7.03,0.08,2.09,Cream Products
286,Ice Cream,Aarhus Plant,2021,Autumn,2365,4646,262,55,634,0.41,3.73,7.33,0.09,2.03,Cream Products
287,Ice Cream,Odense Plant,2021,Autumn,2419,4752,268,56,622,0.43,3.89,7.64,0.09,1.97,Cream Products
288,Ice Cream,Aalborg Plant,2021,Autumn,2706,5315,300,63,669,0.45,4.04,7.94,0.09,1.92,Cream Products
289,Whole Milk,Copenhagen Plant,2022,Winter,2601,8826,167,23,1256,0.13,2.07,7.03,0.02,2.7,Milk Products
290,Whole Milk,Aarhus Plant,2022,Winter,2848,9662,183,25,1317,0.14,2.16,7.34,0.02,2.67,Milk Products
291,Whole Milk,Odense Plant,2022,Winter,2717,9217,175,24,1207,0.14,2.25,7.64,0.02,2.64,Milk Products
292,Whole Milk,Aalborg Plant,2022,Winter,2993,10156,192,27,1278,0.15,2.34,7.95,0.02,2.61,Milk Products
293,Skim Milk,Copenhagen Plant,2022,Winter,2512,8889,159,21,1197,0.13,2.1,7.43,0.02,2.69,Milk Products
294,Skim Milk,Aarhus Plant,2022,Winter,2561,9061,163,22,1169,0.14,2.19,7.75,0.02,2.66,Milk Products
295,Skim Milk,Odense Plant,2022,Winter,2744,9709,174,23,1203,0.14,2.28,8.07,0.02,2.63,Milk Products
296,Skim Milk,Aalborg Plant,2022,Winter,2548,9017,162,22,1074,0.15,2.37,8.4,0.02,2.6,Milk Products
297,Organic Milk,Copenhagen Plant,2022,Winter,2937,9637,193,26,930,0.21,3.16,10.36,0.03,2.31,Milk Products
298,Organic Milk,Aarhus Plant,2022,Winter,3042,9980,200,27,923,0.22,3.3,10.81,0.03,2.26,Milk Products
299,Organic Milk,Odense Plant,2022,Winter,3221,10569,211,28,939,0.22,3.43,11.26,0.03,2.22,Milk Products
300,Organic Milk,Aalborg Plant,2022,Winter,2943,9658,193,26,825,0.23,3.57,11.71,0.03,2.17,Milk Products
301,Cheddar Cheese,Copenhagen Plant,2022,Winter,1966,3754,250,40,383,0.65,5.13,9.8,0.1,1.48,Cheese Products
302,Cheddar Cheese,Aarhus Plant,2022,Winter,2145,4094,273,44,400,0.68,5.36,10.24,0.11,1.39,Cheese Products
303,Cheddar Cheese,Odense Plant,2022,Winter,1978,3775,252,40,354,0.71,5.59,10.66,0.11,1.31,Cheese Products
304,Cheddar Cheese,Aalborg Plant,2022,Winter,2134,4075,272,44,367,0.74,5.81,11.1,0.12,1.22,Cheese Products
305,Mozzarella Cheese,Copenhagen Plant,2022,Winter,1742,3319,220,35,393,0.56,4.43,8.45,0.09,1.75,Cheese Products
306,Mozzarella Cheese,Aarhus Plant,2022,Winter,1992,3793,251,40,430,0.58,4.63,8.82,0.09,1.68,Cheese Products
307,Mozzarella Cheese,Odense Plant,2022,Winter,2217,4223,280,44,460,0.61,4.82,9.18,0.1,1.6,Cheese Products
308,Mozzarella Cheese,Aalborg Plant,2022,Winter,2249,4284,284,45,448,0.63,5.02,9.56,0.1,1.53,Cheese Products
309,Blue Cheese,Copenhagen Plant,2022,Winter,2300,4312,307,53,302,1.02,7.62,14.28,0.18,0.5,Cheese Products
310,Blue Cheese,Aarhus Plant,2022,Winter,2137,4007,285,49,269,1.06,7.94,14.9,0.18,0.38,Cheese Products
311,Blue Cheese,Odense Plant,2022,Winter,2478,4646,330,57,300,1.1,8.26,15.49,0.19,0.26,Cheese Products
312,Blue Cheese,Aalborg Plant,2022,Winter,2608,4889,348,60,303,1.15,8.61,16.14,0.2,0.12,Cheese Products
313,Cream Cheese,Copenhagen Plant,2022,Winter,1728,3457,218,35,461,0.47,3.75,7.5,0.08,2.01,Cheese Products
314,Cream Cheese,Aarhus Plant,2022,Winter,1587,3175,201,32,406,0.5,3.91,7.82,0.08,1.95,Cheese Products
315,Cream Cheese,Odense Plant,2022,Winter,1684,3367,213,34,413,0.52,4.08,8.15,0.08,1.88,Cheese Products
316,Cream Cheese,Aalborg Plant,2022,Winter,1884,3768,238,38,445,0.53,4.23,8.47,0.09,1.83,Cheese Products
317,Greek Yogurt,Copenhagen Plant,2022,Winter,1455,5820,121,28,774,0.16,1.88,7.52,0.04,2.75,Yogurt Products
318,Greek Yogurt,Aarhus Plant,2022,Winter,1729,6917,144,34,881,0.16,1.96,7.85,0.04,2.72,Yogurt Products
319,Greek Yogurt,Odense Plant,2022,Winter,1671,6684,139,32,818,0.17,2.04,8.17,0.04,2.69,Yogurt Products
320,Greek Yogurt,Aalborg Plant,2022,Winter,1779,7117,148,35,837,0.18,2.13,8.5,0.04,2.66,Yogurt Products
321,Regular Yogurt,Copenhagen Plant,2022,Winter,1378,5856,116,26,892,0.13,1.54,6.57,0.03,2.88,Yogurt Products
322,Regular Yogurt,Aarhus Plant,2022,Winter,1364,5799,115,26,847,0.14,1.61,6.85,0.03,2.85,Yogurt Products
323,Regular Yogurt,Odense Plant,2022,Winter,1623,6898,137,30,967,0.14,1.68,7.13,0.03,2.83,Yogurt Products
324,Regular Yogurt,Aalborg Plant,2022,Winter,1530,6502,129,29,877,0.15,1.74,7.41,0.03,2.8,Yogurt Products
325,Flavored Yogurt,Copenhagen Plant,2022,Winter,1659,6636,137,31,940,0.15,1.76,7.06,0.03,2.8,Yogurt Products
326,Flavored Yogurt,Aarhus Plant,2022,Winter,1693,6772,140,32,919,0.15,1.84,7.37,0.03,2.77,Yogurt Products
327,Flavored Yogurt,Odense Plant,2022,Winter,1679,6717,139,32,875,0.16,1.92,7.68,0.04,2.74,Yogurt Products
328,Flavored Yogurt,Aalborg Plant,2022,Winter,1923,7693,159,36,964,0.16,1.99,7.98,0.04,2.71,Yogurt Products
329,Salted Butter,Copenhagen Plant,2022,Winter,1345,1822,182,24,313,0.58,4.3,5.82,0.08,1.79,Butter Products
330,Salted Butter,Aarhus Plant,2022,Winter,1371,1858,186,25,306,0.61,4.48,6.07,0.08,1.72,Butter Products
331,Salted Butter,Odense Plant,2022,Winter,1619,2193,219,29,346,0.63,4.68,6.34,0.08,1.65,Butter Products
332,Salted Butter,Aalborg Plant,2022,Winter,1562,2117,212,28,321,0.66,4.87,6.6,0.09,1.57,Butter Products
333,Unsalted Butter,Copenhagen Plant,2022,Winter,1404,1872,192,24,358,0.54,3.92,5.23,0.07,1.93,Butter Products
334,Unsalted Butter,Aarhus Plant,2022,Winter,1496,1994,204,26,366,0.56,4.09,5.45,0.07,1.87,Butter Products
335,Unsalted Butter,Odense Plant,2022,Winter,1510,2014,206,26,355,0.58,4.25,5.67,0.07,1.81,Butter Products
336,Unsalted Butter,Aalborg Plant,2022,Winter,1656,2207,226,29,374,0.6,4.43,5.9,0.08,1.74,Butter Products
337,Heavy Cream,Copenhagen Plant,2022,Winter,1047,2442,113,19,511,0.22,2.05,4.78,0.04,2.67,Cream Products
338,Heavy Cream,Aarhus Plant,2022,Winter,1194,2786,129,22,558,0.23,2.14,4.99,0.04,2.64,Cream Products
339,Heavy Cream,Odense Plant,2022,Winter,1259,2938,136,23,566,0.24,2.22,5.19,0.04,2.61,Cream Products
340,Heavy Cream,Aalborg Plant,2022,Winter,1123,2620,122,21,485,0.25,2.32,5.4,0.04,2.57,Cream Products
341,Light Cream,Copenhagen Plant,2022,Winter,1050,2483,115,19,624,0.18,1.68,3.98,0.03,2.81,Cream Products
342,Light Cream,Aarhus Plant,2022,Winter,933,2206,102,17,531,0.19,1.76,4.15,0.03,2.78,Cream Products
343,Light Cream,Odense Plant,2022,Winter,994,2349,108,18,543,0.2,1.83,4.33,0.03,2.76,Cream Products
344,Light Cream,Aalborg Plant,2022,Winter,1148,2713,125,21,603,0.21,1.9,4.5,0.03,2.73,Cream Products
345,Whipping Cream,Copenhagen Plant,2022,Winter,1120,2498,116,20,475,0.24,2.36,5.26,0.04,2.56,Cream Products
346,Whipping Cream,Aarhus Plant,2022,Winter,1162,2592,121,21,473,0.26,2.46,5.48,0.04,2.52,Cream Products
347,Whipping Cream,Odense Plant,2022,Winter,1262,2816,131,22,493,0.27,2.56,5.71,0.04,2.49,Cream Products
348,Whipping Cream,Aalborg Plant,2022,Winter,1261,2812,131,22,474,0.28,2.66,5.93,0.05,2.45,Cream Products
349,Sour Cream,Copenhagen Plant,2022,Winter,1183,2704,118,21,438,0.27,2.7,6.17,0.05,2.44,Cream Products
350,Sour Cream,Aarhus Plant,2022,Winter,1316,3007,132,23,467,0.28,2.82,6.44,0.05,2.39,Cream Products
351,Sour Cream,Odense Plant,2022,Winter,1433,3276,143,26,488,0.29,2.94,6.71,0.05,2.35,Cream Products
352,Sour Cream,Aalborg Plant,2022,Winter,1315,3005,131,23,430,0.3,3.06,6.99,0.05,2.31,Cream Products
353,Cottage Cheese,Copenhagen Plant,2022,Winter,1595,3770,150,31,566,0.27,2.82,6.66,0.05,2.4,Cheese Products
354,Cottage Cheese,Aarhus Plant,2022,Winter,1411,3336,133,27,480,0.28,2.94,6.95,0.06,2.35,Cheese Products
355,Cottage Cheese,Odense Plant,2022,Winter,1650,3900,155,32,539,0.29,3.06,7.24,0.06,2.31,Cheese Products
356,Cottage Cheese,Aalborg Plant,2022,Winter,1670,3948,157,32,525,0.3,3.18,7.52,0.06,2.26,Cheese Products
357,Ice Cream,Copenhagen Plant,2022,Winter,2482,4876,275,58,719,0.38,3.45,6.78,0.08,2.14,Cream Products
358,Ice Cream,Aarhus Plant,2022,Winter,2733,5368,303,63,759,0.4,3.6,7.07,0.08,2.08,Cream Products
359,Ice Cream,Odense Plant,2022,Winter,2778,5457,308,64,740,0.42,3.75,7.37,0.09,2.02,Cream Products
360,Ice Cream,Aalborg Plant,2022,Winter,2684,5271,297,62,688,0.43,3.9,7.66,0.09,1.97,Cream Products
361,Whole Milk,Copenhagen Plant,2022,Spring,2469,8377,159,22,1192,0.13,2.07,7.03,0.02,2.7,Milk Products
362,Whole Milk,Aarhus Plant,2022,Spring,2594,8801,167,23,1200,0.14,2.16,7.33,0.02,2.67,Milk Products
363,Whole Milk,Odense Plant,2022,Spring,3082,10458,198,28,1369,0.14,2.25,7.64,0.02,2.64,Milk Products
364,Whole Milk,Aalborg Plant,2022,Spring,3188,10818,205,28,1362,0.15,2.34,7.94,0.02,2.61,Milk Products
365,Skim Milk,Copenhagen Plant,2022,Spring,2627,9297,167,22,1252,0.13,2.1,7.43,0.02,2.69,Milk Products
366,Skim Milk,Aarhus Plant,2022,Spring,2535,8970,161,21,1158,0.14,2.19,7.75,0.02,2.66,Milk Products
367,Skim Milk,Odense Plant,2022,Spring,2854,10100,181,24,1251,0.14,2.28,8.07,0.02,2.63,Milk Products
368,Skim Milk,Aalborg Plant,2022,Spring,2817,9969,179,24,1188,0.15,2.37,8.39,0.02,2.6,Milk Products
369,Organic Milk,Copenhagen Plant,2022,Spring,3158,10363,207,28,1001,0.21,3.15,10.35,0.03,2.31,Milk Products
370,Organic Milk,Aarhus Plant,2022,Spring,3269,10726,215,29,992,0.22,3.3,10.81,0.03,2.26,Milk Products
371,Organic Milk,Odense Plant,2022,Spring,3270,10730,215,29,953,0.23,3.43,11.26,0.03,2.21,Milk Products
372,Organic Milk,Aalborg Plant,2022,Spring,3612,11853,237,32,1012,0.23,3.57,11.71,0.03,2.17,Milk Products
373,Cheddar Cheese,Copenhagen Plant,2022,Spring,2035,3885,259,42,396,0.65,5.14,9.81,0.11,1.48,Cheese Products
374,Cheddar Cheese,Aarhus Plant,2022,Spring,2256,4307,287,46,421,0.68,5.36,10.23,0.11,1.39,Cheese Products
375,Cheddar Cheese,Odense Plant,2022,Spring,2297,4385,292,47,411,0.71,5.59,10.67,0.11,1.31,Cheese Products
376,Cheddar Cheese,Aalborg Plant,2022,Spring,2194,4189,279,45,378,0.74,5.8,11.08,0.12,1.22,Cheese Products
377,Mozzarella Cheese,Copenhagen Plant,2022,Spring,1799,3427,227,36,405,0.56,4.44,8.46,0.09,1.75,Cheese Products
378,Mozzarella Cheese,Aarhus Plant,2022,Spring,2067,3938,261,41,446,0.59,4.63,8.83,0.09,1.67,Cheese Products
379,Mozzarella Cheese,Odense Plant,2022,Spring,2053,3910,259,41,425,0.61,4.83,9.2,0.1,1.6,Cheese Products
380,Mozzarella Cheese,Aalborg Plant,2022,Spring,2103,4005,265,42,419,0.63,5.02,9.56,0.1,1.53,Cheese Products
381,Blue Cheese,Copenhagen Plant,2022,Spring,2068,3877,276,47,272,1.01,7.6,14.25,0.17,0.52,Cheese Products
382,Blue Cheese,Aarhus Plant,2022,Spring,2488,4666,332,57,313,1.06,7.95,14.91,0.18,0.38,Cheese Products
383,Blue Cheese,Odense Plant,2022,Spring,2640,4949,352,60,319,1.1,8.28,15.51,0.19,0.25,Cheese Products
384,Blue Cheese,Aalborg Plant,2022,Spring,2754,5165,367,63,320,1.15,8.61,16.14,0.2,0.12,Cheese Products
385,Cream Cheese,Copenhagen Plant,2022,Spring,1809,3619,229,36,483,0.47,3.75,7.49,0.07,2.01,Cheese Products
386,Cream Cheese,Aarhus Plant,2022,Spring,1865,3729,236,37,477,0.49,3.91,7.82,0.08,1.95,Cheese Products
387,Cream Cheese,Odense Plant,2022,Spring,1929,3859,244,39,474,0.51,4.07,8.14,0.08,1.89,Cheese Products
388,Cream Cheese,Aalborg Plant,2022,Spring,2008,4017,254,40,474,0.54,4.24,8.47,0.08,1.82,Cheese Products
389,Greek Yogurt,Copenhagen Plant,2022,Spring,1827,7308,152,36,972,0.16,1.88,7.52,0.04,2.75,Yogurt Products
390,Greek Yogurt,Aarhus Plant,2022,Spring,1614,6455,134,31,823,0.16,1.96,7.84,0.04,2.72,Yogurt Products
391,Greek Yogurt,Odense Plant,2022,Spring,1740,6962,145,34,852,0.17,2.04,8.17,0.04,2.69,Yogurt Products
392,Greek Yogurt,Aalborg Plant,2022,Spring,2071,8286,173,40,975,0.18,2.12,8.5,0.04,2.66,Yogurt Products
393,Regular Yogurt,Copenhagen Plant,2022,Spring,1354,5752,114,25,877,0.13,1.54,6.56,0.03,2.88,Yogurt Products
394,Regular Yogurt,Aarhus Plant,2022,Spring,1607,6831,136,30,998,0.14,1.61,6.84,0.03,2.85,Yogurt Products
395,Regular Yogurt,Odense Plant,2022,Spring,1643,6985,139,31,979,0.14,1.68,7.13,0.03,2.83,Yogurt Products
396,Regular Yogurt,Aalborg Plant,2022,Spring,1663,7066,140,31,953,0.15,1.75,7.41,0.03,2.8,Yogurt Products
397,Flavored Yogurt,Copenhagen Plant,2022,Spring,1680,6721,139,32,952,0.15,1.76,7.06,0.03,2.8,Yogurt Products
398,Flavored Yogurt,Aarhus Plant,2022,Spring,1536,6145,127,29,834,0.15,1.84,7.37,0.03,2.77,Yogurt Products
399,Flavored Yogurt,Odense Plant,2022,Spring,1853,7413,154,35,966,0.16,1.92,7.67,0.04,2.74,Yogurt Products
400,Flavored Yogurt,Aalborg Plant,2022,Spring,1894,7577,157,36,949,0.17,2.0,7.98,0.04,2.71,Yogurt Products
401,Salted Butter,Copenhagen Plant,2022,Spring,1531,2074,207,28,356,0.58,4.3,5.83,0.08,1.79,Butter Products
402,Salted Butter,Aarhus Plant,2022,Spring,1610,2181,218,29,359,0.61,4.48,6.08,0.08,1.72,Butter Products
403,Salted Butter,Odense Plant,2022,Spring,1552,2102,210,28,332,0.63,4.67,6.33,0.08,1.65,Butter Products
404,Salted Butter,Aalborg Plant,2022,Spring,1603,2172,217,29,330,0.66,4.86,6.58,0.09,1.57,Butter Products
405,Unsalted Butter,Copenhagen Plant,2022,Spring,1489,1985,203,26,380,0.53,3.92,5.22,0.07,1.94,Butter Products
406,Unsalted Butter,Aarhus Plant,2022,Spring,1558,2077,213,27,381,0.56,4.09,5.45,0.07,1.87,Butter Products
407,Unsalted Butter,Odense Plant,2022,Spring,1492,1989,204,26,350,0.58,4.26,5.68,0.07,1.81,Butter Products
408,Unsalted Butter,Aalborg Plant,2022,Spring,1678,2237,229,29,379,0.6,4.43,5.9,0.08,1.74,Butter Products
409,Heavy Cream,Copenhagen Plant,2022,Spring,1136,2650,123,21,554,0.22,2.05,4.78,0.04,2.67,Cream Products
410,Heavy Cream,Aarhus Plant,2022,Spring,1105,2579,120,20,517,0.23,2.14,4.99,0.04,2.64,Cream Products
411,Heavy Cream,Odense Plant,2022,Spring,1190,2776,129,22,534,0.24,2.23,5.2,0.04,2.61,Cream Products
412,Heavy Cream,Aalborg Plant,2022,Spring,1210,2824,131,22,523,0.25,2.31,5.4,0.04,2.58,Cream Products
413,Light Cream,Copenhagen Plant,2022,Spring,1082,2558,118,20,643,0.18,1.68,3.98,0.03,2.81,Cream Products
414,Light Cream,Aarhus Plant,2022,Spring,999,2361,109,18,569,0.19,1.76,4.15,0.03,2.78,Cream Products
415,Light Cream,Odense Plant,2022,Spring,1040,2459,113,19,568,0.2,1.83,4.33,0.03,2.76,Cream Products
416,Light Cream,Aalborg Plant,2022,Spring,1236,2922,135,22,650,0.21,1.9,4.5,0.03,2.73,Cream Products
417,Whipping Cream,Copenhagen Plant,2022,Spring,1249,2786,130,22,530,0.25,2.36,5.26,0.04,2.56,Cream Products
418,Whipping Cream,Aarhus Plant,2022,Spring,1261,2814,131,22,513,0.26,2.46,5.49,0.04,2.52,Cream Products
419,Whipping Cream,Odense Plant,2022,Spring,1186,2646,123,21,463,0.27,2.56,5.71,0.05,2.48,Cream Products
420,Whipping Cream,Aalborg Plant,2022,Spring,1357,3027,141,24,510,0.28,2.66,5.94,0.05,2.45,Cream Products
421,Sour Cream,Copenhagen Plant,2022,Spring,1250,2857,125,22,463,0.27,2.7,6.17,0.05,2.44,Cream Products
422,Sour Cream,Aarhus Plant,2022,Spring,1304,2981,130,23,463,0.28,2.82,6.44,0.05,2.39,Cream Products
423,Sour Cream,Odense Plant,2022,Spring,1557,3559,156,28,530,0.29,2.94,6.72,0.05,2.35,Cream Products
424,Sour Cream,Aalborg Plant,2022,Spring,1586,3625,159,28,519,0.31,3.06,6.98,0.05,2.3,Cream Products
425,Cottage Cheese,Copenhagen Plant,2022,Spring,1427,3372,134,28,506,0.26,2.82,6.66,0.06,2.4,Cheese Products
